"filename", "language", "Markdown", "YAML", "JavaScript", "JSON", "TypeScript JSX", "TypeScript", "PostCSS", "JSON with Comments", "HTML", "Ignore", "comment", "blank", "total"
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/frontend/src/pages/Dashboard/components/TemplatesSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 3, 9, 98
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/frontend/src/pages/Dashboard/dashboard.types.ts", "TypeScript", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 3, 30
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/frontend/src/pages/Dashboard/dashboard.utils.ts", "TypeScript", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 4, 42
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/frontend/src/pages/EditorThemeTemplatesPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 3, 7, 92
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/frontend/src/pages/FormEditor/FormEditorLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 156, 0, 0, 0, 0, 0, 13, 28, 197
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/frontend/src/pages/FormEditor/FormEditorLoader.tsx", "TypeScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/frontend/src/pages/FormEditor/FormEditorPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/frontend/src/pages/FormEditor/FormEditorShell.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 3, 24
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/frontend/src/pages/FormEditor/KeyboardShortcutsHelp.tsx", "TypeScript JSX", 0, 0, 0, 0, 134, 0, 0, 0, 0, 0, 0, 7, 141
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/frontend/src/pages/FormEditor/components/ActionRow.tsx", "TypeScript JSX", 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 8, 9, 83
